53 102 -> 48 fr=1728 (0.2127), cf=1.000, gamma=4.701, delta=0.167, M=-4.200e+03
53 58 -> 48 fr=1728 (0.2127), cf=1.000, gamma=4.701, delta=0.167, M=-4.200e+03
38 53 94 -> 48 fr=1728 (0.2127), cf=1.000, gamma=4.701, delta=0.167, M=-4.200e+03
1 38 53 -> 48 fr=1728 (0.2127), cf=1.000, gamma=4.701, delta=0.167, M=-4.200e+03
24 38 53 -> 48 fr=1728 (0.2127), cf=1.000, gamma=4.701, delta=0.167, M=-4.200e+03
36 38 53 -> 48 fr=1728 (0.2127), cf=1.000, gamma=4.701, delta=0.167, M=-4.200e+03
1 53 94 -> 48 fr=1728 (0.2127), cf=1.000, gamma=4.701, delta=0.167, M=-4.200e+03
53 94 110 -> 48 fr=1728 (0.2127), cf=1.000, gamma=4.701, delta=0.167, M=-4.200e+03
36 53 94 -> 48 fr=1728 (0.2127), cf=1.000, gamma=4.701, delta=0.167, M=-4.200e+03
1 24 53 -> 48 fr=1728 (0.2127), cf=1.000, gamma=4.701, delta=0.167, M=-4.200e+03
24 53 110 -> 48 fr=1728 (0.2127), cf=1.000, gamma=4.701, delta=0.167, M=-4.200e+03
24 36 53 -> 48 fr=1728 (0.2127), cf=1.000, gamma=4.701, delta=0.167, M=-4.200e+03
24 53 -> 94 fr=2496 (0.3072), cf=1.000, gamma=2.927, delta=0.202, M=-4.103e+03
1 58 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
38 58 102 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
58 102 110 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
58 90 102 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
36 38 102 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
1 102 110 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
36 90 102 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
38 58 94 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
58 94 110 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
24 58 94 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
58 90 94 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
36 38 94 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
1 94 110 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
1 36 94 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
1 86 94 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
36 94 110 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
24 36 94 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
36 90 94 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
24 36 58 102 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
24 36 102 110 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
1 24 38 86 102 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
1 24 86 90 102 -> 48 fr=1728 (0.2127), cf=0.982, gamma=4.616, delta=0.167, M=-4.042e+03
1 94 -> 48 fr=1728 (0.2127), cf=0.977, gamma=4.595, delta=0.166, M=-4.011e+03
1 24 38 102 -> 48 fr=1728 (0.2127), cf=0.977, gamma=4.595, delta=0.166, M=-4.011e+03
1 38 86 102 -> 48 fr=1728 (0.2127), cf=0.977, gamma=4.595, delta=0.166, M=-4.011e+03
1 24 90 102 -> 48 fr=1728 (0.2127), cf=0.977, gamma=4.595, delta=0.166, M=-4.011e+03
1 86 90 102 -> 48 fr=1728 (0.2127), cf=0.977, gamma=4.595, delta=0.166, M=-4.011e+03
34 58 -> 102 fr=2240 (0.2757), cf=0.979, gamma=3.331, delta=0.193, M=-3.999e+03
58 86 -> 102 fr=2240 (0.2757), cf=0.979, gamma=3.331, delta=0.193, M=-3.999e+03
1 38 102 -> 48 fr=1728 (0.2127), cf=0.973, gamma=4.574, delta=0.166, M=-3.982e+03
1 90 102 -> 48 fr=1728 (0.2127), cf=0.973, gamma=4.574, delta=0.166, M=-3.982e+03
36 102 110 -> 48 fr=1728 (0.2127), cf=0.973, gamma=4.574, delta=0.166, M=-3.982e+03
1 34 36 102 -> 48 fr=1728 (0.2127), cf=0.972, gamma=4.569, delta=0.166, M=-3.975e+03
1 24 34 86 102 -> 48 fr=1728 (0.2127), cf=0.972, gamma=4.569, delta=0.166, M=-3.975e+03
38 58 110 -> 48 fr=1728 (0.2127), cf=0.969, gamma=4.554, delta=0.166, M=-3.954e+03
34 58 110 -> 48 fr=1728 (0.2127), cf=0.969, gamma=4.554, delta=0.166, M=-3.954e+03
58 86 110 -> 48 fr=1728 (0.2127), cf=0.969, gamma=4.554, delta=0.166, M=-3.954e+03
1 24 34 102 -> 48 fr=1728 (0.2127), cf=0.968, gamma=4.549, delta=0.166, M=-3.947e+03
1 34 86 102 -> 48 fr=1728 (0.2127), cf=0.968, gamma=4.549, delta=0.166, M=-3.947e+03
1 34 102 -> 48 fr=1728 (0.2127), cf=0.963, gamma=4.528, delta=0.166, M=-3.920e+03
24 34 36 102 -> 48 fr=1728 (0.2127), cf=0.963, gamma=4.528, delta=0.166, M=-3.920e+03
1 36 102 -> 48 fr=1728 (0.2127), cf=0.962, gamma=4.523, delta=0.166, M=-3.913e+03
1 24 86 102 -> 48 fr=1728 (0.2127), cf=0.962, gamma=4.523, delta=0.166, M=-3.913e+03
1 24 102 -> 48 fr=1728 (0.2127), cf=0.958, gamma=4.503, delta=0.165, M=-3.888e+03
1 86 102 -> 48 fr=1728 (0.2127), cf=0.958, gamma=4.503, delta=0.165, M=-3.888e+03
