species,group,mid-length,mid-wspan,mid-weight,AR,wload,diver,long-billed,webbed-feet,long-legs,wading-bird,plunge-dives,forest-edges-bio,harbours-bio,archipelago-bio,coastal-meadows-bio,fells-bio,fields-bio,forest-edges-bio,forests-bio,islets-bio,lakes-bio,marshland-bio,meadows-bio,nutrient-rich-lakes-bio,pastures-bio,ponds-bio,reedbeds-bio,sea-bays-bio,sea-coast-bio,shores-bio,shrub-tundra-bio,streams-bio,wetlands-bio,algae-diet,berries-diet,birds-diet,carrion-diet,chicks-diet,clams-diet,eggs-diet,fish-diet,frogs-diet,garbage-diet,grain-diet,grass-diet,hares-diet,insects-diet,invertebrates-diet,larvae-diet,lizards-diet,molluscs-diet,plants-diet,rodents-diet,seeds-diet,shellfish-diet,small-rodents-diet,snails-diet,snakes-diet,squirrels-diet,vertebrae-diet,worms-diet,few-eggs,many-eggs
naurulokki,laridae,36.0,92.5,275.0,8.13,0.31,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
harmaalokki,laridae,60.0,135.5,1050.0,8.24,0.64,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
isolokki,laridae,65.5,148.0,1400.0,8.24,0.66,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kalatiira,sternidae,39.0,75.0,122.5,9.14,0.24,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
lapintiira,sternidae,35.0,71.5,110.0,8.97,0.2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
suokukko,scolopacidae,25.5,47.5,110.0,6.73,0.36,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
taivaanvuohi,scolopacidae,26.0,42.0,100.0,5.91,0.4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lehtokurppa,scolopacidae,35.0,60.0,305.0,5.68,0.54,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
metsäviklo,scolopacidae,22.5,41.5,80.0,7.2,0.29,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
liro,scolopacidae,22.0,37.0,60.0,7.53,0.23,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
