29 39 -> 50 fr=7 (0.1400), cf=1.000, gamma=7.143, delta=0.120, M=5.842e-01
6 29 -> 50 fr=7 (0.1400), cf=1.000, gamma=7.143, delta=0.120, M=5.842e-01
6 32 -> 50 fr=7 (0.1400), cf=1.000, gamma=7.143, delta=0.120, M=5.842e-01
77 -> 76 fr=8 (0.1600), cf=1.000, gamma=5.556, delta=0.131, M=5.437e-01
30 31 -> 32 fr=11 (0.2200), cf=0.846, gamma=3.526, delta=0.158, M=5.014e-01
29 32 -> 50 fr=7 (0.1400), cf=0.875, gamma=6.250, delta=0.118, M=4.973e-01
29 30 -> 50 fr=7 (0.1400), cf=0.875, gamma=6.250, delta=0.118, M=4.973e-01
32 39 -> 50 fr=7 (0.1400), cf=0.875, gamma=6.250, delta=0.118, M=4.973e-01
6 39 -> 50 fr=7 (0.1400), cf=0.875, gamma=6.250, delta=0.118, M=4.973e-01
7 9 -> 0 fr=5 (0.1000), cf=1.000, gamma=10.000, delta=0.090, M=4.690e-01
6 7 -> 0 fr=5 (0.1000), cf=1.000, gamma=10.000, delta=0.090, M=4.690e-01
6 9 -> 0 fr=5 (0.1000), cf=1.000, gamma=10.000, delta=0.090, M=4.690e-01
28 30 -> 24 fr=12 (0.2400), cf=0.667, gamma=2.778, delta=0.154, M=4.645e-01
32 -> 31 fr=12 (0.2400), cf=1.000, gamma=2.778, delta=0.154, M=4.645e-01
1 30 -> 55 fr=7 (0.1400), cf=1.000, gamma=5.556, delta=0.115, M=4.467e-01
31 39 -> 50 fr=7 (0.1400), cf=0.778, gamma=5.556, delta=0.115, M=4.467e-01
6 31 -> 50 fr=7 (0.1400), cf=0.778, gamma=5.556, delta=0.115, M=4.467e-01
29 53 -> 50 fr=6 (0.1200), cf=1.000, gamma=7.143, delta=0.103, M=4.465e-01
6 53 -> 50 fr=6 (0.1200), cf=1.000, gamma=7.143, delta=0.103, M=4.465e-01
29 30 -> 32 fr=8 (0.1600), cf=1.000, gamma=4.167, delta=0.122, M=4.139e-01
50 -> 29 fr=7 (0.1400), cf=1.000, gamma=5.000, delta=0.112, M=4.080e-01
6 32 -> 29 fr=7 (0.1400), cf=1.000, gamma=5.000, delta=0.112, M=4.080e-01
62 -> 63 fr=8 (0.1600), cf=0.889, gamma=4.444, delta=0.124, M=4.008e-01
0 -> 7 fr=5 (0.1000), cf=1.000, gamma=8.333, delta=0.088, M=3.910e-01
6 9 -> 7 fr=5 (0.1000), cf=1.000, gamma=8.333, delta=0.088, M=3.910e-01
9 10 -> 0 fr=5 (0.1000), cf=0.833, gamma=8.333, delta=0.088, M=3.910e-01
9 11 -> 0 fr=5 (0.1000), cf=0.833, gamma=8.333, delta=0.088, M=3.910e-01
24 -> 28 fr=12 (0.2400), cf=1.000, gamma=2.381, delta=0.139, M=3.812e-01
30 32 -> 50 fr=7 (0.1400), cf=0.636, gamma=4.545, delta=0.109, M=3.762e-01
8 11 -> 10 fr=28 (0.5600), cf=0.875, gamma=1.411, delta=0.163, M=3.762e-01
29 -> 31 fr=10 (0.2000), cf=1.000, gamma=2.778, delta=0.128, M=3.651e-01
32 53 -> 50 fr=6 (0.1200), cf=0.857, gamma=6.122, delta=0.100, M=3.644e-01
31 53 -> 50 fr=6 (0.1200), cf=0.857, gamma=6.122, delta=0.100, M=3.644e-01
4 6 10 30 -> 55 fr=6 (0.1200), cf=1.000, gamma=5.556, delta=0.098, M=3.641e-01
4 6 11 30 -> 55 fr=6 (0.1200), cf=1.000, gamma=5.556, delta=0.098, M=3.641e-01
4 6 8 30 -> 55 fr=6 (0.1200), cf=1.000, gamma=5.556, delta=0.098, M=3.641e-01
32 39 -> 53 fr=7 (0.1400), cf=0.875, gamma=4.861, delta=0.111, M=3.611e-01
6 10 30 -> 55 fr=7 (0.1400), cf=0.875, gamma=4.861, delta=0.111, M=3.611e-01
50 -> 32 fr=7 (0.1400), cf=1.000, gamma=4.167, delta=0.106, M=3.491e-01
29 39 -> 32 fr=7 (0.1400), cf=1.000, gamma=4.167, delta=0.106, M=3.491e-01
6 29 -> 32 fr=7 (0.1400), cf=1.000, gamma=4.167, delta=0.106, M=3.491e-01
0 -> 9 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=3.482e-01
6 7 -> 9 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=3.482e-01
4 31 -> 50 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=3.482e-01
10 -> 8 fr=31 (0.6200), cf=1.000, gamma=1.250, delta=0.124, M=3.427e-01
6 30 -> 55 fr=9 (0.1800), cf=0.529, gamma=2.941, delta=0.119, M=3.409e-01
6 53 -> 29 fr=6 (0.1200), cf=1.000, gamma=5.000, delta=0.096, M=3.352e-01
30 31 -> 50 fr=7 (0.1400), cf=0.538, gamma=3.846, delta=0.104, M=3.253e-01
50 -> 39 fr=7 (0.1400), cf=1.000, gamma=3.846, delta=0.104, M=3.253e-01
32 53 -> 39 fr=7 (0.1400), cf=1.000, gamma=3.846, delta=0.104, M=3.253e-01
31 53 -> 39 fr=7 (0.1400), cf=1.000, gamma=3.846, delta=0.104, M=3.253e-01
6 29 -> 39 fr=7 (0.1400), cf=1.000, gamma=3.846, delta=0.104, M=3.253e-01
6 32 -> 39 fr=7 (0.1400), cf=1.000, gamma=3.846, delta=0.104, M=3.253e-01
32 39 -> 29 fr=7 (0.1400), cf=0.875, gamma=4.375, delta=0.108, M=3.231e-01
6 39 -> 29 fr=7 (0.1400), cf=0.875, gamma=4.375, delta=0.108, M=3.231e-01
6 10 -> 1 fr=11 (0.2200), cf=0.846, gamma=2.644, delta=0.137, M=3.205e-01
4 -> 6 fr=15 (0.3000), cf=0.882, gamma=2.005, delta=0.150, M=3.199e-01
9 10 -> 7 fr=5 (0.1000), cf=0.833, gamma=6.944, delta=0.086, M=3.136e-01
9 11 -> 7 fr=5 (0.1000), cf=0.833, gamma=6.944, delta=0.086, M=3.136e-01
11 63 -> 76 fr=7 (0.1400), cf=0.778, gamma=4.321, delta=0.108, M=3.119e-01
31 39 -> 53 fr=7 (0.1400), cf=0.778, gamma=4.321, delta=0.108, M=3.119e-01
30 32 -> 29 fr=8 (0.1600), cf=0.727, gamma=3.636, delta=0.116, M=3.083e-01
